SUBCAT;CLASSIF;RESTRSEXO;CAUSAOBITO;DESCRICAO;DESCRABREV;REFER;EXCLUIDOS;
X189;;;;Contato com outros metais quentes - local não especificado;X18.9 Local NE;;;
X190;;;;Contato com outras fontes de calor ou com substâncias quentes não especificados - residência;X19.0 Residencia;;;
X191;;;;Contato com outras fontes de calor ou com substâncias quentes não especificados - habitação coletiva;X19.1 Habitacao coletiva;;;
X192;;;;Contato com outras fontes de calor ou com substâncias quentes não especificados - escolas, outras instituições e áreas de administração pública;X19.2 Escolas outr instit areas admin publica;;;
X193;;;;Contato com outras fontes de calor ou com substâncias quentes não especificados - área para a prática de esportes e atletismo;X19.3 Area p/a pratica de esportes e atletismo;;;
X194;;;;Contato com outras fontes de calor ou com substâncias quentes não especificados - rua e estrada;X19.4 Rua e estrada;;;
X195;;;;Contato com outras fontes de calor ou com substâncias quentes não especificados - áreas de comércio e de serviços;X19.5 Areas de comercio e de servicos;;;
X196;;;;Contato com outras fontes de calor ou com substâncias quentes não especificados - áreas industriais e em construção;X19.6 Areas industriais e em construcao;;;
X197;;;;Contato com outras fontes de calor ou com substâncias quentes não especificados - fazenda;X19.7 Fazenda;;;
X198;;;;Contato com outras fontes de calor ou com substâncias quentes não especificados - outros locais especificados;X19.8 Outr locais espec;;;
X199;;;;Contato com outras fontes de calor ou com substâncias quentes não especificados - local não especificado;X19.9 Local NE;;;
X200;;;;Contato com serpentes e lagartos venenosos - residência;X20.0 Residencia;;;
X201;;;;Contato com serpentes e lagartos venenosos - habitação coletiva;X20.1 Habitacao coletiva;;;
X202;;;;Contato com serpentes e lagartos venenosos - escolas, outras instituições e áreas de administração pública;X20.2 Escolas outr instit areas admin publica;;;
X203;;;;Contato com serpentes e lagartos venenosos - área para a prática de esportes e atletismo;X20.3 Area p/a pratica de esportes e atletismo;;;
X204;;;;Contato com serpentes e lagartos venenosos - rua e estrada;X20.4 Rua e estrada;;;
X205;;;;Contato com serpentes e lagartos venenosos - áreas de comércio e de serviços;X20.5 Areas de comercio e de servicos;;;
X206;;;;Contato com serpentes e lagartos venenosos - áreas industriais e em construção;X20.6 Areas industriais e em construcao;;;
X207;;;;Contato com serpentes e lagartos venenosos - fazenda;X20.7 Fazenda;;;
X208;;;;Contato com serpentes e lagartos venenosos - outros locais especificados;X20.8 Outr locais espec;;;
X209;;;;Contato com serpentes e lagartos venenosos - local não especificado;X20.9 Local NE;;;
X210;;;;Contato com aranhas venenosas - residência;X21.0 Residencia;;;
X211;;;;Contato com aranhas venenosas - habitação coletiva;X21.1 Habitacao coletiva;;;
X212;;;;Contato com aranhas venenosas - escolas, outras instituições e áreas de administração pública;X21.2 Escolas outr instit areas admin publica;;;
X213;;;;Contato com aranhas venenosas - área para a prática de esportes e atletismo;X21.3 Area p/a pratica de esportes e atletismo;;;
X214;;;;Contato com aranhas venenosas - rua e estrada;X21.4 Rua e estrada;;;
X215;;;;Contato com aranhas venenosas - áreas de comércio e de serviços;X21.5 Areas de comercio e de servicos;;;
X216;;;;Contato com aranhas venenosas - áreas industriais e em construção;X21.6 Areas industriais e em construcao;;;
X217;;;;Contato com aranhas venenosas - fazenda;X21.7 Fazenda;;;
X218;;;;Contato com aranhas venenosas - outros locais especificados;X21.8 Outr locais espec;;;
X219;;;;Contato com aranhas venenosas - local não especificado;X21.9 Local NE;;;
X220;;;;Contato com escorpiões - residência;X22.0 Residencia;;;
X221;;;;Contato com escorpiões - habitação coletiva;X22.1 Habitacao coletiva;;;
X222;;;;Contato com escorpiões - escolas, outras instituições e áreas de administração pública;X22.2 Escolas outr instit areas admin publica;;;
X223;;;;Contato com escorpiões - área para a prática de esportes e atletismo;X22.3 Area p/a pratica de esportes e atletismo;;;
X224;;;;Contato com escorpiões - rua e estrada;X22.4 Rua e estrada;;;
X225;;;;Contato com escorpiões - áreas de comércio e de serviços;X22.5 Areas de comercio e de servicos;;;
X226;;;;Contato com escorpiões - áreas industriais e em construção;X22.6 Areas industriais e em construcao;;;
X227;;;;Contato com escorpiões - fazenda;X22.7 Fazenda;;;
X228;;;;Contato com escorpiões - outros locais especificados;X22.8 Outr locais espec;;;
X229;;;;Contato com escorpiões - local não especificado;X22.9 Local NE;;;
X230;;;;Contato com abelhas, vespas e vespões - residência;X23.0 Residencia;;;
X231;;;;Contato com abelhas, vespas e vespões - habitação coletiva;X23.1 Habitacao coletiva;;;
X232;;;;Contato com abelhas, vespas e vespões - escolas, outras instituições e áreas de administração pública;X23.2 Escolas outr instit areas admin publica;;;
X233;;;;Contato com abelhas, vespas e vespões - área para a prática de esportes e atletismo;X23.3 Area p/a pratica de esportes e atletismo;;;
X234;;;;Contato com abelhas, vespas e vespões - rua e estrada;X23.4 Rua e estrada;;;
X235;;;;Contato com abelhas, vespas e vespões - áreas de comércio e de serviços;X23.5 Areas de comercio e de servicos;;;
X236;;;;Contato com abelhas, vespas e vespões - áreas industriais e em construção;X23.6 Areas industriais e em construcao;;;
X237;;;;Contato com abelhas, vespas e vespões - fazenda;X23.7 Fazenda;;;
X238;;;;Contato com abelhas, vespas e vespões - outros locais especificados;X23.8 Outr locais espec;;;
X239;;;;Contato com abelhas, vespas e vespões - local não especificado;X23.9 Local NE;;;
X240;;;;Contato com centopéias e miriápodes venenosas (tropicais) - residência;X24.0 Residencia;;;
X241;;;;Contato com centopéias e miriápodes venenosas (tropicais) - habitação coletiva;X24.1 Habitacao coletiva;;;
X242;;;;Contato com centopéias e miriápodes venenosas (tropicais) - escolas, outras instituições e áreas de administração pública;X24.2 Escolas outr instit areas admin publica;;;
X243;;;;Contato com centopéias e miriápodes venenosas (tropicais) - área para a prática de esportes e atletismo;X24.3 Area p/a pratica de esportes e atletismo;;;
X244;;;;Contato com centopéias e miriápodes venenosas (tropicais) - rua e estrada;X24.4 Rua e estrada;;;
X245;;;;Contato com centopéias e miriápodes venenosas (tropicais) - áreas de comércio e de serviços;X24.5 Areas de comercio e de servicos;;;
X246;;;;Contato com centopéias e miriápodes venenosas (tropicais) - áreas industriais e em construção;X24.6 Areas industriais e em construcao;;;
X247;;;;Contato com centopéias e miriápodes venenosas (tropicais) - fazenda;X24.7 Fazenda;;;
X248;;;;Contato com centopéias e miriápodes venenosas (tropicais) - outros locais especificados;X24.8 Outr locais espec;;;
X249;;;;Contato com centopéias e miriápodes venenosas (tropicais) - local não especificado;X24.9 Local NE;;;
X250;;;;Contato com outros artrópodes venenosos - residência;X25.0 Residencia;;;
X251;;;;Contato com outros artrópodes venenosos - habitação coletiva;X25.1 Habitacao coletiva;;;
X252;;;;Contato com outros artrópodes venenosos - escolas, outras instituições e áreas de administração pública;X25.2 Escolas outr instit areas admin publica;;;
X253;;;;Contato com outros artrópodes venenosos - área para a prática de esportes e atletismo;X25.3 Area p/a pratica de esportes e atletismo;;;
X254;;;;Contato com outros artrópodes venenosos - rua e estrada;X25.4 Rua e estrada;;;
X255;;;;Contato com outros artrópodes venenosos - áreas de comércio e de serviços;X25.5 Areas de comercio e de servicos;;;
X256;;;;Contato com outros artrópodes venenosos - áreas industriais e em construção;X25.6 Areas industriais e em construcao;;;
X257;;;;Contato com outros artrópodes venenosos - fazenda;X25.7 Fazenda;;;
X258;;;;Contato com outros artrópodes venenosos - outros locais especificados;X25.8 Outr locais espec;;;
X259;;;;Contato com outros artrópodes venenosos - local não especificado;X25.9 Local NE;;;
X260;;;;Contato com animais e plantas marinhos venenosos - residência;X26.0 Residencia;;;
X261;;;;Contato com animais e plantas marinhos venenosos - habitação coletiva;X26.1 Habitacao coletiva;;;
X262;;;;Contato com animais e plantas marinhos venenosos - escolas, outras instituições e áreas de administração pública;X26.2 Escolas outr instit areas admin publica;;;
X263;;;;Contato com animais e plantas marinhos venenosos - área para a prática de esportes e atletismo;X26.3 Area p/a pratica de esportes e atletismo;;;
X264;;;;Contato com animais e plantas marinhos venenosos - rua e estrada;X26.4 Rua e estrada;;;
X265;;;;Contato com animais e plantas marinhos venenosos - áreas de comércio e de serviços;X26.5 Areas de comercio e de servicos;;;
X266;;;;Contato com animais e plantas marinhos venenosos - áreas industriais e em construção;X26.6 Areas industriais e em construcao;;;
X267;;;;Contato com animais e plantas marinhos venenosos - fazenda;X26.7 Fazenda;;;
X268;;;;Contato com animais e plantas marinhos venenosos - outros locais especificados;X26.8 Outr locais espec;;;
X269;;;;Contato com animais e plantas marinhos venenosos - local não especificado;X26.9 Local NE;;;
X270;;;;Contato com outros animais venenosos especificados - residência;X27.0 Residencia;;;
X271;;;;Contato com outros animais venenosos especificados - habitação coletiva;X27.1 Habitacao coletiva;;;
X272;;;;Contato com outros animais venenosos especificados - escolas, outras instituições e áreas de administração pública;X27.2 Escolas outr instit areas admin publica;;;
X273;;;;Contato com outros animais venenosos especificados - área para a prática de esportes e atletismo;X27.3 Area p/a pratica de esportes e atletismo;;;
X274;;;;Contato com outros animais venenosos especificados - rua e estrada;X27.4 Rua e estrada;;;
X275;;;;Contato com outros animais venenosos especificados - áreas de comércio e de serviços;X27.5 Areas de comercio e de servicos;;;
X276;;;;Contato com outros animais venenosos especificados - áreas industriais e em construção;X27.6 Areas industriais e em construcao;;;
X277;;;;Contato com outros animais venenosos especificados - fazenda;X27.7 Fazenda;;;
X278;;;;Contato com outros animais venenosos especificados - outros locais especificados;X27.8 Outr locais espec;;;
X279;;;;Contato com outros animais venenosos especificados - local não especificado;X27.9 Local NE;;;
X280;;;;Contato com outras plantas venenosas especificadas - residência;X28.0 Residencia;;;
X281;;;;Contato com outras plantas venenosas especificadas - habitação coletiva;X28.1 Habitacao coletiva;;;
X282;;;;Contato com outras plantas venenosas especificadas - escolas, outras instituições e áreas de administração pública;X28.2 Escolas outr instit areas admin publica;;;
X283;;;;Contato com outras plantas venenosas especificadas - área para a prática de esportes e atletismo;X28.3 Area p/a pratica de esportes e atletismo;;;
X284;;;;Contato com outras plantas venenosas especificadas - rua e estrada;X28.4 Rua e estrada;;;
X285;;;;Contato com outras plantas venenosas especificadas - áreas de comércio e de serviços;X28.5 Areas de comercio e de servicos;;;
X286;;;;Contato com outras plantas venenosas especificadas - áreas industriais e em construção;X28.6 Areas industriais e em construcao;;;
X287;;;;Contato com outras plantas venenosas especificadas - fazenda;X28.7 Fazenda;;;
X288;;;;Contato com outras plantas venenosas especificadas - outros locais especificados;X28.8 Outr locais espec;;;
X289;;;;Contato com outras plantas venenosas especificadas - local não especificado;X28.9 Local NE;;;
X290;;;;Contato com animais ou plantas venenosos, sem especificação - residência;X29.0 Residencia;;;
X291;;;;Contato com animais ou plantas venenosos, sem especificação - habitação coletiva;X29.1 Habitacao coletiva;;;
X292;;;;Contato com animais ou plantas venenosos, sem especificação - escolas, outras instituições e áreas de administração pública;X29.2 Escolas outr instit areas admin publica;;;
X293;;;;Contato com animais ou plantas venenosos, sem especificação - área para a prática de esportes e atletismo;X29.3 Area p/a pratica de esportes e atletismo;;;
X294;;;;Contato com animais ou plantas venenosos, sem especificação - rua e estrada;X29.4 Rua e estrada;;;
X295;;;;Contato com animais ou plantas venenosos, sem especificação - áreas de comércio e de serviços;X29.5 Areas de comercio e de servicos;;;
X296;;;;Contato com animais ou plantas venenosos, sem especificação - áreas industriais e em construção;X29.6 Areas industriais e em construcao;;;
X297;;;;Contato com animais ou plantas venenosos, sem especificação - fazenda;X29.7 Fazenda;;;
X298;;;;Contato com animais ou plantas venenosos, sem especificação - outros locais especificados;X29.8 Outr locais espec;;;
X299;;;;Contato com animais ou plantas venenosos, sem especificação - local não especificado;X29.9 Local NE;;;
X300;;;;Exposição a calor natural excessivo - residência;X30.0 Residencia;;;
X301;;;;Exposição a calor natural excessivo - habitação coletiva;X30.1 Habitacao coletiva;;;
X302;;;;Exposição a calor natural excessivo - escolas, outras instituições e áreas de administração pública;X30.2 Escolas outr instit areas admin publica;;;
X303;;;;Exposição a calor natural excessivo - área para a prática de esportes e atletismo;X30.3 Area p/a pratica de esportes e atletismo;;;
X304;;;;Exposição a calor natural excessivo - rua e estrada;X30.4 Rua e estrada;;;
X305;;;;Exposição a calor natural excessivo - áreas de comércio e de serviços;X30.5 Areas de comercio e de servicos;;;
X306;;;;Exposição a calor natural excessivo - áreas industriais e em construção;X30.6 Areas industriais e em construcao;;;
X307;;;;Exposição a calor natural excessivo - fazenda;X30.7 Fazenda;;;
X308;;;;Exposição a calor natural excessivo - outros locais especificados;X30.8 Outr locais espec;;;
X309;;;;Exposição a calor natural excessivo - local não especificado;X30.9 Local NE;;;
X310;;;;Exposição a frio natural excessivo - residência;X31.0 Residencia;;;
X311;;;;Exposição a frio natural excessivo - habitação coletiva;X31.1 Habitacao coletiva;;;
X312;;;;Exposição a frio natural excessivo - escolas, outras instituições e áreas de administração pública;X31.2 Escolas outr instit areas admin publica;;;
X313;;;;Exposição a frio natural excessivo - área para a prática de esportes e atletismo;X31.3 Area p/a pratica de esportes e atletismo;;;
X314;;;;Exposição a frio natural excessivo - rua e estrada;X31.4 Rua e estrada;;;
X315;;;;Exposição a frio natural excessivo - áreas de comércio e de serviços;X31.5 Areas de comercio e de servicos;;;
X316;;;;Exposição a frio natural excessivo - áreas industriais e em construção;X31.6 Areas industriais e em construcao;;;
X317;;;;Exposição a frio natural excessivo - fazenda;X31.7 Fazenda;;;
X318;;;;Exposição a frio natural excessivo - outros locais especificados;X31.8 Outr locais espec;;;
X319;;;;Exposição a frio natural excessivo - local não especificado;X31.9 Local NE;;;
X320;;;;Exposição à luz solar - residência;X32.0 Residencia;;;
X321;;;;Exposição à luz solar - habitação coletiva;X32.1 Habitacao coletiva;;;
X322;;;;Exposição à luz solar - escolas, outras instituições e áreas de administração pública;X32.2 Escolas outr instit areas admin publica;;;
X323;;;;Exposição à luz solar - área para a prática de esportes e atletismo;X32.3 Area p/a pratica de esportes e atletismo;;;
X324;;;;Exposição à luz solar - rua e estrada;X32.4 Rua e estrada;;;
X325;;;;Exposição à luz solar - áreas de comércio e de serviços;X32.5 Areas de comercio e de servicos;;;
X326;;;;Exposição à luz solar - áreas industriais e em construção;X32.6 Areas industriais e em construcao;;;
X327;;;;Exposição à luz solar - fazenda;X32.7 Fazenda;;;
X328;;;;Exposição à luz solar - outros locais especificados;X32.8 Outr locais espec;;;
X329;;;;Exposição à luz solar - local não especificado;X32.9 Local NE;;;
X330;;;;Vítima de raio - residência;X33.0 Residencia;;;
X331;;;;Vítima de raio - habitação coletiva;X33.1 Habitacao coletiva;;;
X332;;;;Vítima de raio - escolas, outras instituições e áreas de administração pública;X33.2 Escolas outr instit areas admin publica;;;
X333;;;;Vítima de raio - área para a prática de esportes e atletismo;X33.3 Area p/a pratica de esportes e atletismo;;;
X334;;;;Vítima de raio - rua e estrada;X33.4 Rua e estrada;;;
X335;;;;Vítima de raio - áreas de comércio e de serviços;X33.5 Areas de comercio e de servicos;;;
X336;;;;Vítima de raio - áreas industriais e em construção;X33.6 Areas industriais e em construcao;;;
X337;;;;Vítima de raio - fazenda;X33.7 Fazenda;;;
X338;;;;Vítima de raio - outros locais especificados;X33.8 Outr locais espec;;;
X339;;;;Vítima de raio - local não especificado;X33.9 Local NE;;;
X340;;;;Vítima de terremoto - residência;X34.0 Residencia;;;
X341;;;;Vítima de terremoto - habitação coletiva;X34.1 Habitacao coletiva;;;
X342;;;;Vítima de terremoto - escolas, outras instituições e áreas de administração pública;X34.2 Escolas outr instit areas admin publica;;;
X343;;;;Vítima de terremoto - área para a prática de esportes e atletismo;X34.3 Area p/a pratica de esportes e atletismo;;;
X344;;;;Vítima de terremoto - rua e estrada;X34.4 Rua e estrada;;;
X345;;;;Vítima de terremoto - áreas de comércio e de serviços;X34.5 Areas de comercio e de servicos;;;
X346;;;;Vítima de terremoto - áreas industriais e em construção;X34.6 Areas industriais e em construcao;;;
X347;;;;Vítima de terremoto - fazenda;X34.7 Fazenda;;;
X348;;;;Vítima de terremoto - outros locais especificados;X34.8 Outr locais espec;;;
X349;;;;Vítima de terremoto - local não especificado;X34.9 Local NE;;;
X350;;;;Vítima de erupção vulcânica - residência;X35.0 Residencia;;;
X351;;;;Vítima de erupção vulcânica - habitação coletiva;X35.1 Habitacao coletiva;;;
X352;;;;Vítima de erupção vulcânica - escolas, outras instituições e áreas de administração pública;X35.2 Escolas outr instit areas admin publica;;;
X353;;;;Vítima de erupção vulcânica - área para a prática de esportes e atletismo;X35.3 Area p/a pratica de esportes e atletismo;;;
X354;;;;Vítima de erupção vulcânica - rua e estrada;X35.4 Rua e estrada;;;
X355;;;;Vítima de erupção vulcânica - áreas de comércio e de serviços;X35.5 Areas de comercio e de servicos;;;
X356;;;;Vítima de erupção vulcânica - áreas industriais e em construção;X35.6 Areas industriais e em construcao;;;
X357;;;;Vítima de erupção vulcânica - fazenda;X35.7 Fazenda;;;
X358;;;;Vítima de erupção vulcânica - outros locais especificados;X35.8 Outr locais espec;;;
X359;;;;Vítima de erupção vulcânica - local não especificado;X35.9 Local NE;;;
X360;;;;Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - residência;X36.0 Residencia;;;
X361;;;;Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - habitação coletiva;X36.1 Habitacao coletiva;;;
X362;;;;Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - escolas, outras instituições e áreas de administração pública;X36.2 Escolas outr instit areas admin publica;;;
X363;;;;Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - área para a prática de esportes e atletismo;X36.3 Area p/a pratica de esportes e atletismo;;;
X364;;;;Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - rua e estrada;X36.4 Rua e estrada;;;
X365;;;;Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - áreas de comércio e de serviços;X36.5 Areas de comercio e de servicos;;;
X366;;;;Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - áreas industriais e em construção;X36.6 Areas industriais e em construcao;;;
X367;;;;Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - fazenda;X36.7 Fazenda;;;
X368;;;;Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - outros locais especificados;X36.8 Outr locais espec;;;
X369;;;;Vítima de avalanche, desabamento de terra e outros movimentos da superfície terrestre - local não especificado;X36.9 Local NE;;;
X370;;;;Vítima de tempestade cataclísmica - residência;X37.0 Residencia;;;
X371;;;;Vítima de tempestade cataclísmica - habitação coletiva;X37.1 Habitacao coletiva;;;
X372;;;;Vítima de tempestade cataclísmica - escolas, outras instituições e áreas de administração pública;X37.2 Escolas outr instit areas admin publica;;;
X373;;;;Vítima de tempestade cataclísmica - área para a prática de esportes e atletismo;X37.3 Area p/a pratica de esportes e atletismo;;;
X374;;;;Vítima de tempestade cataclísmica - rua e estrada;X37.4 Rua e estrada;;;
X375;;;;Vítima de tempestade cataclísmica - áreas de comércio e de serviços;X37.5 Areas de comercio e de servicos;;;
X376;;;;Vítima de tempestade cataclísmica - áreas industriais e em construção;X37.6 Areas industriais e em construcao;;;
X377;;;;Vítima de tempestade cataclísmica - fazenda;X37.7 Fazenda;;;
X378;;;;Vítima de tempestade cataclísmica - outros locais especificados;X37.8 Outr locais espec;;;
X379;;;;Vítima de tempestade cataclísmica - local não especificado;X37.9 Local NE;;;
X380;;;;Vítima de inundação - residência;X38.0 Residencia;;;
X381;;;;Vítima de inundação - habitação coletiva;X38.1 Habitacao coletiva;;;
X382;;;;Vítima de inundação - escolas, outras instituições e áreas de administração pública;X38.2 Escolas outr instit areas admin publica;;;
X383;;;;Vítima de inundação - área para a prática de esportes e atletismo;X38.3 Area p/a pratica de esportes e atletismo;;;
X384;;;;Vítima de inundação - rua e estrada;X38.4 Rua e estrada;;;
X385;;;;Vítima de inundação - áreas de comércio e de serviços;X38.5 Areas de comercio e de servicos;;;
X386;;;;Vítima de inundação - áreas industriais e em construção;X38.6 Areas industriais e em construcao;;;
X387;;;;Vítima de inundação - fazenda;X38.7 Fazenda;;;
X388;;;;Vítima de inundação - outros locais especificados;X38.8 Outr locais espec;;;
X389;;;;Vítima de inundação - local não especificado;X38.9 Local NE;;;
X390;;;;Exposição a outras forças da natureza e às não especificadas - residência;X39.0 Residencia;;;
X391;;;;Exposição a outras forças da natureza e às não especificadas - habitação coletiva;X39.1 Habitacao coletiva;;;
X392;;;;Exposição a outras forças da natureza e às não especificadas - escolas, outras instituições e áreas de administração pública;X39.2 Escolas outr instit areas admin publica;;;
X393;;;;Exposição a outras forças da natureza e às não especificadas - área para a prática de esportes e atletismo;X39.3 Area p/a pratica de esportes e atletismo;;;
X394;;;;Exposição a outras forças da natureza e às não especificadas - rua e estrada;X39.4 Rua e estrada;;;
X395;;;;Exposição a outras forças da natureza e às não especificadas - áreas de comércio e de serviços;X39.5 Areas de comercio e de servicos;;;
X396;;;;Exposição a outras forças da natureza e às não especificadas - áreas industriais e em construção;X39.6 Areas industriais e em construcao;;;
X397;;;;Exposição a outras forças da natureza e às não especificadas - fazenda;X39.7 Fazenda;;;
X398;;;;Exposição a outras forças da natureza e às não especificadas - outros locais especificados;X39.8 Outr locais espec;;;
X399;;;;Exposição a outras forças da natureza e às não especificadas - local não especificado;X39.9 Local NE;;;
X400;;;;Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - residência;X40.0 Residencia;;;
X401;;;;Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - habitação coletiva;X40.1 Habitacao coletiva;;;
X402;;;;Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - escolas, outras instituições e áreas de administração pública;X40.2 Escolas outr instit areas admin publica;;;
X403;;;;Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - área para a prática de esportes e atletismo;X40.3 Area p/a pratica de esportes e atletismo;;;
X404;;;;Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - rua e estrada;X40.4 Rua e estrada;;;
X405;;;;Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - áreas de comércio e de serviços;X40.5 Areas de comercio e de servicos;;;
X406;;;;Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - áreas industriais e em construção;X40.6 Areas industriais e em construcao;;;
X407;;;;Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - fazenda;X40.7 Fazenda;;;
X408;;;;Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - outros locais especificados;X40.8 Outr locais espec;;;
X409;;;;Envenenamento [intoxicação] acidental por e exposição a analgésicos, antipiréticos e anti-reumáticos, não-opiáceos - local não especificado;X40.9 Local NE;;;
X410;;;;Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte - residência;X41.0 Residencia;;;
X411;;;;Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte - habitação coletiva;X41.1 Habitacao coletiva;;;
X412;;;;Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte - escolas, outras instituições e áreas de administração pública;X41.2 Escolas outr instit areas admin publica;;;
X413;;;;Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte - área para a prática de esportes e atletismo;X41.3 Area p/a pratica de esportes e atletismo;;;
X414;;;;Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte - rua e estrada;X41.4 Rua e estrada;;;
X415;;;;Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte - áreas de comércio e de serviços;X41.5 Areas de comercio e de servicos;;;
X416;;;;Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte - áreas industriais e em construção;X41.6 Areas industriais e em construcao;;;
X417;;;;Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte - fazenda;X41.7 Fazenda;;;
X418;;;;Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte - outros locais especificados;X41.8 Outr locais espec;;;
X419;;;;Envenenamento [intoxicação] acidental por e exposição a anticonvulsivantes [antiepilépticos], sedativos, hipnóticos, antiparkinsonianos e psicotrópicos não classificadas em outra parte - local não especificado;X41.9 Local NE;;;
X420;;;;Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - residência;X42.0 Residencia;;;
X421;;;;Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - habitação coletiva;X42.1 Habitacao coletiva;;;
X422;;;;Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - escolas, outras instituições e áreas de administração pública;X42.2 Escolas outr instit areas admin publica;;;
X423;;;;Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - área para a prática de esportes e atletismo;X42.3 Area p/a pratica de esportes e atletismo;;;
X424;;;;Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - rua e estrada;X42.4 Rua e estrada;;;
X425;;;;Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - áreas de comércio e de serviços;X42.5 Areas de comercio e de servicos;;;
X426;;;;Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - áreas industriais e em construção;X42.6 Areas industriais e em construcao;;;
X427;;;;Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - fazenda;X42.7 Fazenda;;;
X428;;;;Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - outros locais especificados;X42.8 Outr locais espec;;;
X429;;;;Envenenamento [intoxicação] acidental por e exposição a narcóticos e psicodislépticos [alucinógenos] não classificados em outra parte - local não especificado;X42.9 Local NE;;;
X430;;;;Envenenamento [intoxicação] acidental por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - residência;X43.0 Residencia;;;
X431;;;;Envenenamento [intoxicação] acidental por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - habitação coletiva;X43.1 Habitacao coletiva;;;
X432;;;;Envenenamento [intoxicação] acidental por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - escolas, outras instituições e áreas de administração pública;X43.2 Escolas outr instit areas admin publica;;;
X433;;;;Envenenamento [intoxicação] acidental por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - área para a prática de esportes e atletismo;X43.3 Area p/a pratica de esportes e atletismo;;;
X434;;;;Envenenamento [intoxicação] acidental por e exposição a outras substâncias farmacológicas de ação sobre o sistema nervoso autônomo - rua e estrada;X43.4 Rua e estrada;;;
